Period;Value;HS_Commodity;Trade_Flow;Indicator;Reporter_Country;Partner_Country
Sep 2021;10;2603 - Copper ores and concentrates.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Oct 2025;10;2504 - Natural graphite.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
May 2021;10;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;European Union All Countries
Jan 2022;10;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);United Republic of Tanzania;SADC
Apr 2025;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;FOB Value (US$);United Republic of Tanzania;European Union All Countries
Apr 2025;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;FOB Value (US$);United Republic of Tanzania;European Union All Countries
Nov 2020;10;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Aug 2024;10;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Apr 2025;10;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Aug 2024;10;2603 - Copper ores and concentrates.;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Feb 2025;10;2604 - Nickel ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Aug 2022;10;2604 - Nickel ores and concentrates.;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Jul 2020;10;2607 - Lead ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
May 2024;10;2607 - Lead ores and concentrates.;Total Imports;Net Weight(Kg);DR Congo;SADC
May 2024;10;2608 - Zinc ores and concentrates.;Total Imports;Net Weight(Kg);DR Congo;SADC
Jun 2022;10;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);DR Congo;SADC
Sep 2021;10;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Jun 2024;10;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Jun 2022;10;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Imports;Net Weight(Kg);DR Congo;SADC
Sep 2021;10;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Jun 2024;10;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Jun 2025;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Dec 2020;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Sep 2022;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Dec 2022;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Sep 2024;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Jun 2021;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Mar 2022;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;ASEAN
Sep 2020;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;SADC
Jul 2025;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Jun 2025;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Dec 2020;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Sep 2022;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Dec 2022;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Sep 2020;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Kenya;SADC
Jul 2025;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Net Weight(Kg);Rwanda;European Union All Countries
Sep 2024;10;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Jun 2021;10;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Mar 2022;10;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Kenya;ASEAN
Nov 2022;10;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);DR Congo;European Union All Countries
Jun 2021;10;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Aug 2021;10;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Mar 2025;10;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Dec 2021;10;7111 - Base metals, silver or gold,clad with platinum, not further worked than semi-manufactured.;Total Imports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Dec 2021;10;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;European Union All Countries
Jul 2022;10;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;European Union All Countries
Nov 2022;10;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;European Union All Countries
Sep 2020;10;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;SADC
Jan 2023;10;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;SADC
Jun 2023;10;26 - Ores, slag and ash.;Total Exports;Quantity;DR Congo;SADC
Nov 2020;10;26 - Ores, slag and ash.;Total Imports;Quantity;Rwanda;European Union All Countries
Aug 2024;10;26 - Ores, slag and ash.;Total Imports;Quantity;Rwanda;European Union All Countries
Aug 2021;10;2603 - Copper ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Sep 2021;10;2603 - Copper ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Jun 2023;10;2603 - Copper ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Aug 2024;10;2603 - Copper ores and concentrates.;Total Imports;Quantity;Rwanda;European Union All Countries
Feb 2025;10;2604 - Nickel ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Aug 2022;10;2604 - Nickel ores and concentrates.;Total Imports;Quantity;Rwanda;European Union All Countries
Jul 2020;10;2607 - Lead ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jul 2020;10;2609 - Tin ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Apr 2021;10;2609 - Tin ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Jan 2023;10;2609 - Tin ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Apr 2023;10;2609 - Tin ores and concentrates.;Total Exports;Quantity;DR Congo;SADC
Apr 2020;10;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;DR Congo;SADC
Sep 2024;10;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Uganda;European Union All Countries
Apr 2020;10;71069100 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Unwrought;Total Imports;Quantity;DR Congo;SADC
Sep 2024;10;71069200 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Semi-manufactured;Total Imports;Quantity;Uganda;European Union All Countries
Jan 2022;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jun 2025;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Sep 2024;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;United Republic of Tanzania;SADC
Dec 2022;10;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;European Union All Countries
Jan 2022;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jun 2025;10;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Sep 2024;10;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Quantity;United Republic of Tanzania;SADC
Dec 2022;10;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Quantity;Rwanda;European Union All Countries
Oct 2021;10;7110 - Platinum, unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Kenya;European Union All Countries
Dec 2021;10;7111 - Base metals, silver or gold,clad with platinum, not further worked than semi-manufactured.;Total Imports;Quantity;United Republic of Tanzania;European Union All Countries
Dec 2020;11;2504 - Natural graphite.;Total Imports;Net Weight(Kg);Kenya;European Union All Countries
Dec 2020;11;2504 - Natural graphite.;Total Imports;Quantity;Kenya;European Union All Countries
Jul 2023;12;2504 - Natural graphite.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Aug 2024;12;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Aug 2024;12;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Oct 2021;12;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Dec 2023;12;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Oct 2021;12;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Dec 2023;12;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Jul 2023;12;2504 - Natural graphite.;Total Exports;Quantity;United Republic of Tanzania;SADC
Aug 2024;12;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Aug 2024;12;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
Oct 2021;12;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Dec 2023;12;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Oct 2021;12;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Dec 2023;12;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Jul 2023;13;2604 - Nickel ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jul 2024;13;2606 - Aluminium ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Jul 2023;13;2604 - Nickel ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jul 2024;13;2606 - Aluminium ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
May 2023;15;2504 - Natural graphite.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Mar 2024;15;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Feb 2025;15;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Mar 2024;15;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Mar 2025;15;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Mar 2025;15;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
May 2023;15;2504 - Natural graphite.;Total Exports;Quantity;United Republic of Tanzania;SADC
Feb 2025;15;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Mar 2025;15;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Mar 2025;15;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
May 2022;16;2604 - Nickel ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Apr 2025;16;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Apr 2025;16;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
May 2022;16;2604 - Nickel ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Apr 2025;16;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Apr 2025;16;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Feb 2025;17;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Feb 2025;17;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Feb 2025;17;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;SADC
Feb 2025;17;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;SADC
