Period;Value;HS_Commodity;Trade_Flow;Indicator;Reporter_Country;Partner_Country
Apr 2022;2800000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Apr 2022;2800000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Aug 2024;2804110;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;European Union All Countries
Aug 2024;2804275;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Rwanda;European Union All Countries
Dec 2023;2808470;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;European Union All Countries
Dec 2023;2808476;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Rwanda;European Union All Countries
Mar 2025;2829646;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Mar 2025;2829646;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;SADC
Jan 2025;2870030;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;SADC
Mar 2024;2920000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Mar 2024;2920000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;European Union All Countries
Sep 2025;2939537;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Apr 2020;2942330;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Uganda;SADC
Apr 2020;2942330;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Quantity;Uganda;SADC
Sep 2025;2942660;2609 - Tin ores and concentrates.;Total Exports;Quantity;Rwanda;ASEAN
Apr 2021;2970000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Apr 2021;2970000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Nov 2024;2994080;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Nov 2024;2994080;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
May 2023;3000000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Mar 2020;3000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Sep 2020;3000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
May 2022;3000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
May 2023;3000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
May 2023;3000000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Mar 2020;3000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Sep 2020;3000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
May 2022;3000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
May 2023;3000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Jul 2021;3040000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Aug 2023;3040000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Jul 2021;3040000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Aug 2023;3040000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Nov 2023;3049203;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Uganda;SADC
Mar 2021;3052500;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);DR Congo;ASEAN
Oct 2024;3060010;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Rwanda;European Union All Countries
Oct 2024;3062160;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;European Union All Countries
Nov 2023;3070203;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Uganda;SADC
Jan 2022;3077510;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Kenya;SADC
Jan 2022;3077510;26 - Ores, slag and ash.;Total Imports;Quantity;Kenya;SADC
Sep 2022;3137980;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;CIF Value (US$);Uganda;SADC
Nov 2022;3138710;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;CIF Value (US$);Uganda;SADC
Jun 2023;3180002;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;SADC
Mar 2021;3225760;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;European Union All Countries
Mar 2021;3225760;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);DR Congo;European Union All Countries
May 2024;3240000;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2024;3240000;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;SADC
Aug 2023;3256756;2609 - Tin ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;European Union All Countries
Dec 2020;3288000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
May 2021;3300000;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);Kenya;SADC
May 2021;3300000;2606 - Aluminium ores and concentrates.;Total Imports;Quantity;Kenya;SADC
Jan 2023;3343920;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;SADC
Mar 2024;3361870;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;European Union All Countries
Mar 2024;3362798;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Rwanda;European Union All Countries
Dec 2022;3366220;2609 - Tin ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;SADC
May 2025;3392850;26011200 - Iron ores and concentrates, including roasted iron pyrites. - Iron ores and concentrates, other than roasted iron pyrites: -- Agglomerated;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2025;3392850;26011200 - Iron ores and concentrates, including roasted iron pyrites. - Iron ores and concentrates, other than roasted iron pyrites: -- Agglomerated;Total Imports;Quantity;United Republic of Tanzania;SADC
Dec 2024;3400000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Dec 2024;3400000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Jun 2023;3402500;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Jun 2023;3402500;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Oct 2021;3418150;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Jan 2023;3420002;2609 - Tin ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;SADC
Mar 2024;3429676;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Mar 2024;3429676;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Mar 2024;3429676;26011100 - Iron ores and concentrates, including roasted iron pyrites. - Iron ores and concentrates, other than roasted iron pyrites: -- Non-agglomerated;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Jun 2020;3456000;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
May 2024;3487860;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Rwanda;European Union All Countries
May 2024;3487860;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;European Union All Countries
Dec 2024;3490000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Dec 2024;3490000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;European Union All Countries
Apr 2023;3503897;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Apr 2023;3503897;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Apr 2023;3503897;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Apr 2023;3503897;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Aug 2023;3510030;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Mar 2020;3520000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Sep 2020;3520000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Mar 2020;3520000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Sep 2020;3520000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
May 2021;3540000;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Kenya;SADC
May 2021;3540000;26 - Ores, slag and ash.;Total Imports;Quantity;Kenya;SADC
Oct 2024;3561501;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Oct 2024;3561501;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;SADC
Oct 2024;3561501;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;SADC
Oct 2024;3561501;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;SADC
Dec 2024;3600000;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Kenya;SADC
Dec 2024;3600000;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);Kenya;SADC
Dec 2024;3600000;26 - Ores, slag and ash.;Total Imports;Quantity;Kenya;SADC
Dec 2024;3600000;2606 - Aluminium ores and concentrates.;Total Imports;Quantity;Kenya;SADC
Dec 2024;3634000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Dec 2024;3634000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Jan 2023;3640000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Jan 2023;3640000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Jul 2025;3647709;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);DR Congo;European Union All Countries
Jul 2025;3647709;2603 - Copper ores and concentrates.;Total Imports;CIF Value (US$);DR Congo;European Union All Countries
Jul 2025;3650290;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
Jul 2025;3650290;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;SADC
Mar 2021;3672000;2609 - Tin ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Feb 2023;3680000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Feb 2023;3680000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Jun 2023;3680503;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);DR Congo;SADC
Jan 2021;3706000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Oct 2020;3713280;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;European Union All Countries
Sep 2020;3754710;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;SADC
Sep 2020;3759710;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;SADC
Apr 2021;3785100;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;SADC
Aug 2024;3820000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Aug 2024;3820000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;European Union All Countries
Jun 2022;3827720;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;CIF Value (US$);Uganda;SADC
Jun 2022;3827720;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;CIF Value (US$);Uganda;SADC
Jul 2022;3840070;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Jul 2022;3840070;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;European Union All Countries
May 2021;3901400;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
May 2021;3901400;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
May 2021;3901400;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
May 2021;3901400;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Jul 2021;3908900;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;SADC
Jun 2025;3973661;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
Sep 2025;3986070;26 - Ores, slag and ash.;Total Exports;Quantity;Rwanda;ASEAN
Sep 2022;4000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Sep 2022;4000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
May 2022;4040000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
May 2022;4040000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Jul 2021;4040030;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Jul 2021;4040030;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
May 2021;4053500;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Jul 2021;4057200;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Aug 2024;4070000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Aug 2024;4070000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;European Union All Countries
Dec 2021;4080000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Dec 2021;4080000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Feb 2022;4150000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Feb 2022;4150000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Sep 2020;4159999;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);DR Congo;ASEAN
Sep 2020;4159999;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;ASEAN
Mar 2024;4170000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;European Union All Countries
Mar 2024;4170000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;European Union All Countries
Oct 2023;4202200;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Oct 2023;4202200;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Oct 2023;4202200;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Oct 2023;4202200;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jun 2021;4220000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Jun 2021;4220000;2616 - Precious metal ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Jun 2021;4220000;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Jun 2021;4220000;2616 - Precious metal ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
May 2021;4229072;2607 - Lead ores and concentrates.;Total Exports;FOB Value (US$);United Republic of Tanzania;European Union All Countries
May 2021;4239072;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);United Republic of Tanzania;European Union All Countries
Dec 2022;4260000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Dec 2022;4260000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Sep 2022;4266133;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);DR Congo;European Union All Countries
Sep 2025;4277040;26 - Ores, slag and ash.;Total Imports;Quantity;DR Congo;ASEAN
May 2025;4292850;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2025;4292850;2601 - Iron ores and concentrates, including roasted iron pyrites.;Total Imports;Quantity;United Republic of Tanzania;SADC
May 2022;4295300;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
May 2022;4295300;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
May 2022;4295300;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
May 2022;4295300;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
May 2025;4302190;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);United Republic of Tanzania;SADC
May 2025;4302190;26 - Ores, slag and ash.;Total Imports;Quantity;United Republic of Tanzania;SADC
Dec 2021;4319000;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Dec 2021;4319000;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Sep 2021;4323700;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Mar 2020;4449060;2603 - Copper ores and concentrates.;Total Imports;Net Weight(Kg);DR Congo;SADC
Nov 2021;4500000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Feb 2022;4500000;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);Kenya;SADC
Nov 2021;4500000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Feb 2022;4500000;2606 - Aluminium ores and concentrates.;Total Imports;Quantity;Kenya;SADC
Jan 2021;4503470;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);Kenya;SADC
Jan 2021;4503470;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);Kenya;SADC
Jan 2021;4503470;26 - Ores, slag and ash.;Total Imports;Quantity;Kenya;SADC
Jan 2021;4503470;2606 - Aluminium ores and concentrates.;Total Imports;Quantity;Kenya;SADC
Nov 2020;4503800;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;SADC
Dec 2023;4511800;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Dec 2023;4511800;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;European Union All Countries
Dec 2023;4511800;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Dec 2023;4511800;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;European Union All Countries
Jun 2024;4551731;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Exports;FOB Value (US$);Uganda;European Union All Countries
Jun 2024;4551731;71069100 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Unwrought;Total Exports;FOB Value (US$);Uganda;European Union All Countries
Nov 2020;4571160;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;SADC
Apr 2024;4601100;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Apr 2024;4601100;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);United Republic of Tanzania;ASEAN
Apr 2024;4601100;26 - Ores, slag and ash.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Apr 2024;4601100;2603 - Copper ores and concentrates.;Total Exports;Quantity;United Republic of Tanzania;ASEAN
Jul 2020;4608000;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Nov 2020;4675310;26 - Ores, slag and ash.;Total Imports;Net Weight(Kg);DR Congo;SADC
Jul 2020;4690000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Jul 2020;4690000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Aug 2021;4710000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Nov 2020;4747000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Nov 2020;4747000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Oct 2022;4750000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Oct 2022;4750000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Aug 2020;4753470;2603 - Copper ores and concentrates.;Total Exports;Net Weight(Kg);DR Congo;SADC
Aug 2020;4755100;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;SADC
Jun 2023;4800000;2606 - Aluminium ores and concentrates.;Total Imports;Net Weight(Kg);Kenya;SADC
Jun 2023;4800000;2606 - Aluminium ores and concentrates.;Total Imports;Quantity;Kenya;SADC
Aug 2023;4817376;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
May 2023;4901337;71081300 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other semi-manufactured forms;Total Imports;Net Weight(Kg);Uganda;SADC
Jan 2025;4933945;26 - Ores, slag and ash.;Total Imports;CIF Value (US$);United Republic of Tanzania;SADC
May 2023;4967953;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Net Weight(Kg);Uganda;SADC
Apr 2023;4990000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Apr 2023;4990000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Feb 2020;5000000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Oct 2021;5000000;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Feb 2020;5000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Jun 2020;5000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Oct 2021;5000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Jun 2022;5000000;2614 - Titanium ores and concentrates.;Total Exports;Net Weight(Kg);Kenya;ASEAN
Feb 2020;5000000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Oct 2021;5000000;26 - Ores, slag and ash.;Total Exports;Quantity;Kenya;ASEAN
Feb 2020;5000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Jun 2020;5000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Oct 2021;5000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Jun 2022;5000000;2614 - Titanium ores and concentrates.;Total Exports;Quantity;Kenya;ASEAN
Feb 2024;5000000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Mar 2024;5000000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Apr 2024;5000000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Sep 2024;5000000;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
Feb 2024;5000000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Mar 2024;5000000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Apr 2024;5000000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Sep 2024;5000000;71081200 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.- Non-monetary:-- Other unwrought forms;Total Imports;Quantity;Rwanda;SADC
Feb 2023;5024001;26 - Ores, slag and ash.;Total Exports;FOB Value (US$);DR Congo;European Union All Countries
Feb 2023;5024001;2603 - Copper ores and concentrates.;Total Exports;FOB Value (US$);DR Congo;European Union All Countries
May 2024;5046954;7106 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.;Total Exports;FOB Value (US$);Uganda;European Union All Countries
May 2024;5046954;71069100 - Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.- Other:-- Unwrought;Total Exports;FOB Value (US$);Uganda;European Union All Countries
Sep 2020;5092460;26 - Ores, slag and ash.;Total Exports;Net Weight(Kg);DR Congo;European Union All Countries
Jun 2021;5130160;7108 - Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.;Total Imports;Quantity;Rwanda;SADC
