Period,HS_Commodity,Trade_Flow,Reporter_Country,Partner_Country,CIF_Value_USD,FOB_Value_USD,Net_Weight_Kg,Quantity_Units,Unit_Value,HS_Level
Jun 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3180002.0,26050.0,10.0,122.07301343101447,4.0
Jun 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,100229.0,140.0,110.0,715.9214234577041,4.0
Jun 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,300511.0,230.0,110.0,1306.5695595366542,4.0
Jun 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,728820346.0,23100000.0,110.0,31.550664329002966,4.0
Jun 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,2207906245.0,160.0,110.0,13799413.945003662,4.0
Jun 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1774464581.0,55450514.0,110.0,32.00086803523531,4.0
Mar 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,318719997.0,192000.0,110.0,1659.999984366354,4.0
Mar 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,4303390901.0,5622660.0,110.0,765.3656634047292,4.0
Mar 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,889920015.0,0.0,4449060.0,110.0,200.02427816208365,4.0
Mar 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,915715906.0,778010.0,110.0,1176.997604142393,4.0
Mar 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1624270.0,1265190.0,110.0,1.2838150791570564,4.0
Mar 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,69298741.0,6640140.0,110.0,10.43633733625941,4.0
Mar 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2043084059.0,19936370.0,110.0,102.48024384579028,4.0
Mar 2023,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3879320743.0,43295580.0,110.0,89.60084939386216,4.0
Mar 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,99999.0,15.0,110.0,6666.59955556003,4.0
Mar 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,2020747488.0,66909710.0,110.0,30.201109644623624,4.0
Mar 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,400055.0,245.0,110.0,1632.877544355602,4.0
Mar 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1159306753.0,35722130.0,110.0,32.453461005823776,4.0
May 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,5197368171.0,5376820.0,110.0,966.624914168418,4.0
May 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,563191116.0,829230.0,110.0,679.1735899561289,4.0
May 2020,2603 - Copper ores and concentrates.,Total Imports,DR Congo,SADC,3482066404.0,0.0,174004540.0,110.0,20.011353749735378,4.0
May 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,10.0,1000.0,110.0,0.00999999999,4.0
May 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,1784058301.0,12580670.0,40.0,141.80948240434398,4.0
May 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,7403284002.0,7441520.0,110.0,994.8618026960896,4.0
May 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,396735.0,725.0,110.0,547.2206889003853,4.0
May 2024,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,199764.0,4900.0,110.0,40.768163256986085,4.0
May 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,9973253179.0,32220000.0,110.0,309.5361011483455,4.0
May 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,1402549223.0,420.0,110.0,3339402.903953803,4.0
May 2025,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2028262724.0,62405710.0,110.0,32.50123624905425,4.0
Nov 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,674789999.0,592200.0,110.0,1139.4630175597104,4.0
Nov 2020,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,4365337117.0,4503800.0,20.0,969.2564316796996,4.0
Nov 2021,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,25541999.0,3100.0,40.0,8239.354513471177,4.0
Nov 2022,2603 - Copper ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3518554986.0,44047930.0,110.0,79.88014387963112,4.0
