Entity;Code;Year;Trade_(%_of_GDP);Total_import_as_a_share_of_GDP;Trade_in_services_(%_of_GDP)_;Total_natural_resources_rents_(%_of_GDP)
Uganda;UGA;1976;20.994.566;58.658.113;null;9803669
Uganda;UGA;1977;16.951.122;7.385.124;null;14371042
Uganda;UGA;1978;32.515.358;67.193.584;null;18521257
Uganda;UGA;1979;36.932.716;77.668.567;null;2090135
Uganda;UGA;1980;45.476.093;15.922.096;10.710.182;44656853
Uganda;UGA;1981;38.136.543;21.184.011;1.082.031;36730804
Uganda;UGA;1982;25.901.262;13.144.965;null;31213974
Uganda;UGA;1983;22.303.228;12.192.474;null;2008562
Uganda;UGA;1984;2.701.758;70.511.913;27.408.645;11462413
Uganda;UGA;1985;28.746.857;72.768.464;4.346.967;8932812
Uganda;UGA;1986;28.048.391;8.014.224;36.271.005;12737897
Uganda;UGA;1987;2.629.039;73.124.886;null;7788712
Uganda;UGA;1988;25.350.039;65.873.904;null;8157097
Uganda;UGA;1989;26.047.628;74.991.837;null;10329381
Uganda;UGA;1990;26.609.543;13.283.722;null;15810707
Uganda;UGA;1991;29.402.203;11.710.479;7.905.521;20602095
Uganda;UGA;1992;33.052.143;13.458.997;9.875.912;25235498
Uganda;UGA;1993;28.239.834;13.978.196;12.008.611;19499304
Uganda;UGA;1994;2.783.936;15.221.772;12.540.001;1900344
Uganda;UGA;1995;32.623.146;14.838.482;11.583.235;1950946
Uganda;UGA;1996;35.385.487;13.647.557;13.554.445;18582468
Uganda;UGA;1997;34.158.566;1.293.128;13.294.715;16850044
Uganda;UGA;1998;30.043.922;1.299.949;13.734.324;1679185
Uganda;UGA;1999;3.602.471;13.536.059;10.255.789;12463773
Uganda;UGA;2000;32.749.035;15.463.963;10.850.529;12049415
Uganda;UGA;2001;35.329.975;17.227.812;11.920.834;12464394
Uganda;UGA;2002;36.277.794;16.662.998;11.859.465;1424812
Uganda;UGA;2003;36.585.728;20.810.823;9.732.301;20885231
Uganda;UGA;2004;35.460.087;21.740.725;10.903.709;15192563
Uganda;UGA;2005;38.994.286;22.230.757;12.284.672;13923956
Uganda;UGA;2006;43.633.286;25.622.639;13.213.879;13251967
Uganda;UGA;2007;46.777.416;29.360.445;13.779.464;1616408
Uganda;UGA;2008;56.258.266;31.337.116;14.469.745;16437994
Uganda;UGA;2009;47.063.877;16.883.272;9.631.304;9462459
Uganda;UGA;2010;3.826.925;17.448.923;11.647.392;8102294
Uganda;UGA;2011;39.755.226;20.164.919;15.220.504;9156208
Uganda;UGA;2012;43.502.136;22.022.503;1.688.321;10658571
Uganda;UGA;2013;43.109.154;20.078.583;15.668.608;1065861
Uganda;UGA;2014;360.144;18.582.802;14.888.317;10331232
Uganda;UGA;2015;37.689.297;17.027.508;13.694.559;10794758
Uganda;UGA;2016;31.209.362;16.482.988;13.470.271;12733651
Uganda;UGA;2017;3.683.705;18.141.825;12.075.821;12130515
Uganda;UGA;2018;36.638.405;20.172.129;14.968.408;8388883
Uganda;UGA;2019;39.361.053;20.370.562;1.420.307;73883395
Uganda;UGA;2020;37.000.694;20.613.262;11.358.639;75634904
Uganda;UGA;2021;4.171.363;21.980.341;11.885.579;747552
Uganda;UGA;2022;34.505.302;21.254.946;10.911.673;null
Uganda;UGA;2023;33.341.698;2.357.984;11.855.391;null
Uganda;UGA;2024;41.468.285;23.827.814;null;null
